date,id,link,local,text,title
 22/03/18 às 08h41,ID: 33998417,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/nao-entregaram-meu-bilhete-bom-estudante_3UqeG96fWCU1xEXt/, Osasco - SP,"Solicitei o bilhete BOM (estudante) pela instituição UNIP - Marquês.Após todo o procedimento de cadastramento e com o boleto PAGO, recebi um email a cerca de 1 mês depois que meu bilhete haveria chegado a Universidade. Contudo, compareci a secretária para Retira-lo e fui informado que o Malote realmente tinha chegado, porém, meu bilhete não estava junto a este. Estou tentando contato por telefone, mas não houve êxito.Gostaria de um solução urgente.",Não entregaram meu Bilhete bom estudante
 22/03/18 às 08h00,ID: 33997597,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/dificultando-liberacao_I4_0GXWvHBmc-T_x/, Taboão da Serra - SP,"Estou tentando meu passe livre, e não consigo devido a Emtu não aceitar as cópias da carteira de trabalho, segundo eles ilegíveis, São carteiras velhas, já estão meio apagadas, o que posso fazer, declaro meus pais a 3 anos no imposto de renda por eles não trabalharem, agora eu me aperto, e não tenho um direito que é meu, porque a emtu não enxerga. E pra ajudar é tanta [editado pelo Reclame Aqui] que mesmo sabendo que estou matriculada na faculdade, não podemos pagar meia passagem.e quantos eles enrolam pra ganha nosso dinheiro, processo lento e demorado, já vamos entrar em abril, tem vários amigos passando pela mesma situação. Podemos abrir uma ação por danos morais e requerer nosso  dinheiro de volta, daqui a pouco acaba o semestre e nada.",Dificultando liberação
 21/03/18 às 20h33,ID: 33990757,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/erro-no-momento-da-requsicao-do-bom-escolar_MpVh67UimuSh0rj9/, Ferraz de Vasconcelos - SP,"Juntamente com o colégio fizemos todo o procedimento para o cadastro dos meus dados no sistema da emtu requerendo o bom escolar, todos os dados estao corretos porem aparece essa mensagem, nao possuo nenhum outro bilhete bom e meu cpf nao tem nenhum problema perante ao ministério da fazenda e mesmo assim nao consigo fazer o meu cadastro para requeri o bilhete, já foi enviado 2 e-mail mas sem retorno a escola também entrou em contato com a emtu mas sem retorno  faz 8 dias que entrei em contato mas o problema tem 2  meses e hoje tentamos de novo... Nao possuo nenhum bilhete bom e nunca possui antes essa e a primeira vez que tento fazer......Você não possui um cartão BOM escolar ativo.Solicite a segunda-via pelo telefone 0800-7711800 ou 3888-220",Erro no momento da requsiçao do bom escolar
 21/03/18 às 19h01,ID: 33988379,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/descaso-total-com-os-usuarios_QXD4AozcrQAb1DBy/, São Paulo - SP,Deixo minha idignação aos serviços prestados à prefeitura do estado de São Paulo O ônibus 591 que fa jardim paraíso Metro Penha Sem horários certos Você não consegue se basear nos horários dos ônibus para fazer algo os ônibus tem intervado de 2:30 e 2:30 para passar em 1 trajeto de menos de 30k um absurdo que vem acontecendo a anos e ninguém toma uma providência Trabalhos fica aguardado em pé nos pontos sem cobertura idoso O maior descaso público com o usuário,Descaso total com os usuários !!!
 21/03/18 às 16h09,ID: 33982773,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/totalmente-insatisfeita_CHMcgMjoOwLvizUe/, Embu das Artes - SP,"Bom anteriormente havia recorrido ao r.a para tentar resolver meu caso, recebi um telefonema e nunca mais me deram um parecer.Novamente publicando o meu caso...Fiz a solicitação do bom escolar através da instituição de ensino, no site me foi solicitado 3 documentos pelo o qual envie e o sistema reprovou, acontece que paguei a revalidação do cartão e estou sem utilizá-lo a 3 meses.Solicito apenas que CANCELEM A SOLICITAÇÃO DO BOM ESCOLAR PASSE LIVRE E DEIXEM O BOM ESCOLAR MEIA TARIFA. O sistema é muito burocrático, não tenho tempo pra ficar enviando e reenviando documentos.No ultimo contato fui informada que a Emtu disponibilizaria um novo cadastro no site e que seria reembolsada do valor pago na revalidação, nada feito.Realmente não sei mais o que fazer, central de atendimento do bom não consegue me ajudar, a instituição de ensino não sabe fazer o procedimento e atendimento presencial também não. A QUEM DEVO RECORRER? EXTREMAMENTE CANSADA E ESTA CAUSANDO UM TRANSTORNO ENORME.Já realizei duas reclamações e nome do bom, que me informou que nada poderia fazer, entrei e contato com a ouvidoria e até hoje nada e por telefone piorou, nem atendida eu fui. Será que vou ter que ficar mais quantos dias pra resolver isso? Um transtorno ENORME para os clientes.",Totalmente insatisfeita!
 21/03/18 às 15h52,ID: 33982253,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/passe-livre_Fo4HZbZ-fFEUCtjn/, Santo André - SP,"Sou bolsista integral da faculdade FMU, campus Liberdade e moro em uma comunidade em Santo André, e desde o início, tento emitir o passe livre. Por morar numa comunidade, não tenho conta de água, luz nem telefone fixo (documentos exigidos pela EMTU para comprovar a residência), ja tentei mandar conta de telefone celular e uma declaração porém foram recusados pela empresa. Desde o início das aulas, no ano de 2017, todo mês tenho que arrumar algum empréstimo para assistir as aulas, pois a EMTU não aceita meu comprovante de endereço e não atende o telefone para me informar como posso proceder neste caso .Assim não dá! Estou prestes a trancar a faculdade pela falta de orientação, atendimento e demora da EMTU. Mais uma vez ressalto que sou bolsista integral, portanto não tenho condições de gastar uma quantia elevada todos os meses por falta de orientação e demora. Aguardo um retorno positivo",Passe Livre
 21/03/18 às 15h16,ID: 33980889,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/negado-o-passe-livre-mesmo-sendo-provado-que-nao-temos-rendimentos_FuYhJ6QACg-XpyPh/, São Paulo - SP,"Meu esposo estuda em uma faculdade pública que por lei já é de direito o acesso ao passe bom livre,mas ano passado só foi liberado o meia passe mas como ele estava trabalhando ele optou por pagar a meia  no fim do ano de 2017 ele foi dispensado da empresa que trabalhava e está sem condições de pagar a passagem já que moramos no município de cajamar e o valor da passagem custa 6,90 solicitamos junto a escola o bilhete passe livre e enviamos declarações de que estamos sem renda mais ainda sim foi negado o bilhete com isso arriscando que ele perca o semestre por falta de condições de ir e vim da faculdade isso é um absurdo quero saber como resolver este problema empresa EMTU bilhete bom estudante",Negado o passe livre mesmo sendo provado que não temos rendimentos
 21/03/18 às 13h46,ID: 33977043,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/decepcionada-e-chateada_HAqI09fn1kJxjLNR/, São José dos Campos - SP,Boa tarde!Fiz uma reclamação pelo site e até o presente momento ninguém entrou em contato comigo.Aguardo o contato.,decepcionada e chateada
 21/03/18 às 13h02,ID: 33975311,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/carreguei-meu-cartao-online-e-o-valor-nao-caiu_8kd25ICYlr3WtSy-/, Santa Isabel - SP,"Carreguei meu cartão no dia 14/03 online e o valor não caiu até hoje, 21/03. Liguei no atendimento online e disseram que meu cartão não havia sido revalidado, sendo que ele foi revalidado dia 11/03. Se ele não tivesse sido revalidado, eu nem conseguiria recarregar meu cartão. Preciso que o valor caia para eu conseguir usar toda a passagem do mês que depositei nele, estou pagando a passagem inteira.",Carreguei meu cartão online e o valor não caiu
 21/03/18 às 11h44,ID: 33971933,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/revalidacao-indeferida-cartao-estudante_i1-43QR0BCau7tAu/, Osasco - SP,"paguei o boleto para obter a gratuidade do cartão bom estudante, assim como já recebia no semestre passado, porem não aceitaram a documentação, reenviei novamente a documentação certa, e pediram para eu pagar o boleto novamente, sem nem ter recebido o estorno do boleto já pago para este semestre, sem contar que para receber o estorno tem que ter conta no banco do brasil ou ir buscar em são bernardo do campo, não tenho nenhum desses dois meios, peço ajuda por favor, daqui a pouco meu semestre acaba e não recebi meu beneficio, peço ajuda.",REVALIDAÇÃO INDEFERIDA CARTÃO ESTUDANTE
 09/03/18 às 17h20,ID: 33648800,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/passe-livre_33648800/, Santo André - SP,"Boa tarde, fiz o cadastro do passe livre e pela segunda vez foi recusado por conta da declaração da baixa renda, porém nas duas vezes ultilizei o modelo que está no site e mesmo assim está recusando, no momento estou desempregado e sem condições de pagar o trolibus, estou indo e vindo todos os dias a pé por conta disso, for a demora para a validação, 15 dias úteis, estou tentando validar meu passe livre desde do dia 30 de janeiro e até agora nada",Passe livre
 09/03/18 às 13h25,ID: 33640495,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/nao-tem-horario-certo-a-linha-702_EK5B5-Uk6Obprspl/, Campinas - SP,"Estou muito indignada pela prestação de serviço péssimo, a linha já não tem cobrador que ja acho um absurdo, colocando o motorista em risco e dos passageiros por cuidar de cobrar e dirigir, segundo ponto tiraram 1 ônibus da linha deixando apenas 2 carros para rodar, terceiro ponto QUASE TODOS os dias NÃO HÁ RESPEITO PELOS HORÁRIOS DESTA LINHA, chego atrasada no trabalho várias vezes pq ou o ônibus passa antes do horário no site ou passa muito atrasado no ponto, meu esposo que trabalha em outro horário também chega muitas vezes atrasados, os horários não são respeitados nunca. Espero que esta reclamação faça efeito e que seja melhorado imediatamente estes problemas com esta linha, é um absurdo pagar a tarifa cobrada e não ter o mínimo de respeito com o horário.",Não tem horário certo a linha 702
 09/03/18 às 12h28,ID: 33638473,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/passe-livre-atrasado_-5lLrbAjIMHBi9gZ/, Itapecerica da Serra - SP,"Olá,Gostaria de levantar minha indignação perante ao serviço prestado pela EMTU no que condiz a liberação do beneficio do PASSE LIVRE, onde é solicitado por um sistema arcaico que não reconhece/analise de forma errada os documentos solicitados pela propria empresa para liberação das cotas que são por direito minhas, que estudo e preciso do cartão para ir e vir até a faculdade.Infelizmente, já abri protocolos (531344), e não obtive nenhuma resposta. O que acontece é que desde janeiro estou enviando comprante de residencia em nome da minha mae, conta de telefone no nome dela, cartao de credito em meu nome, conta de luz em nome dela e todos os documentos SÃO REPROVADOS.. Uma vez escrevi nas escaners todo nome para quem estivesse analisando, caso não estivesse COMPREENDENDO, entendesse..Peço por gentileza e com toda a educação do mundo que me ajudem a solucionar esse problema, o custo de ir e vir é muito alto, pois estudo gasto R$10,10 por dia, isso quando preciso de mais conduções.Att.",PASSE LIVRE ATRASADO
 09/03/18 às 12h19,ID: 33638187,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/nao-atende-o-telefone__V7pG8REpxwxHSEp/, São Paulo - SP,Estou ligando a quase 2 horas para a central de atendimento e não consigo contato para tirar dúvidas referente ao passe livre estudante.,Não atende o telefone
 09/03/18 às 07h23,ID: 33628337,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/atendimento-pessimo-dos-motoristas_UQkEDTK76a8oGbos/, São Bernardo do Campo - SP,"Prezados, Gostaria de entender o porque os motoristas, andam tão mal-humorados e mal-educados e tratam nós como lixo, a passagem já é um absurdo, os onibus sempre lotados e com o atendimento dos motoristas péssimo, você paga para utilizar o serviço e ainda é maltrado?Fiz uma reclamação no site da EMTU por conta da minha mãe uma idosa de 74 ANOS, e até o momento não obtive sequer nenhuma resposta, e hoje ao vir para o meu trabalho utilizei a linha 409 - Las Palmas e o motorista me deu o troco errado, fui cobrá-lo e ele ainda achou ruim e ficou reclamando...ei eu que sou a cliente na história e não ele, se não gosta de sua profissão eu não tenho nada a ver com isso, estes motoristas tem que parar de maltratar as pessoas, pois nós pagamos para utilizar o serviço e não é barato, a EMTU deveria se preocupar mais com a qualidade de seus serviços e preparar seus funcionários,pois não é somente contratar um motorista  é prepará-lo para trabalhar !",Atendimento péssimo dos motoristas
 09/03/18 às 06h47,ID: 33628137,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/tentei-renovar-o-bom-escolar-paguei-a-taxa-enviei-os-documentos-e-foram-r_6BbqtfL4LDG6u_pk/, São Bernardo do Campo - SP,"Atualmente, sou aluna de doutorado da Universidade de SP e moro no ABCD. Sempre usei o bom escolar para me locomover. Acontece que este ano, pediram um monte de documentos para conseguir renovar o cartão. Enviei TODOS os documentos, inclusive uma declaração de matrícula na instituição de ensino e uma declaração assinada pela minha professora orientadora de doutorado, falando que eu preciso ir para a instituição no mínimo 3x na semana.MESMO ASSIM REJEITARAM A RENOVAÇÃO.É um absurdo liberarem apenas para quem possui disciplinas a serem cumpridas.Quero no mínimo a taxa de renovação de volta...pq ngm tem cara de bobo para ser jogado de um lado para o outro. É uma tremenda falta de respeito!","Tentei renovar o bom escolar, paguei a taxa, enviei os documentos e foram rejeitados."
 08/03/18 às 15h44,ID: 33613135,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/cadastro-passe-livre_mJAxw162l0bAZCHA/, Ubatuba - SP,"Gostaria de deixar aqui minha indignação com a EMTU, estamos aguardando dês do dia 25/01/2018 que fação o cadastro da minha filha para o Passe Livre e nada, disponibiliza um telefone 08007240555 que não funciona, uma linha de reclamações via e-mail que não atende.Esse e o atendimento nota 0.",Cadastro Passe Livre
 08/03/18 às 14h32,ID: 33610371,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/desumanidade_9guC6nsgS4eRgeX9/, Barueri - SP,"Nesta data, 08/03/2018, as 06:50, peguei o ônibus da linha da EMTU veículo 27455 na av. Carolina de Abreu Paulino, para ir ao trabalho, assim como todos que ali estavam. No entanto o ônibus sem espaço interno na divisa de Jandira, ali fico parado por alguns minutos até o motorista, com voz alta e sem respeito aos usuários, pedir para o pessoal ir para o fundo do coletivo, isto gerou algumas reclamações de ambos os lados. O motorista não gosto da conduta dos usuários e sentiu-se no direto de puni-los, não abrindo a porta do meio do coletivo trabalhando somente com a última porta. O ônibus lotado e as pessoas que iriam descer tinha que passar uma por cima das outras. Por fim, o cobrado ainda cassou do episódio ao contar a uma passageira,  Eles não Conhecem o Paulinho . Eu também não conheço Paulinho, mais devido a ele estou com o pé inchado de tanto que o piraram. E ao informa sobre ocorrido a central de atendimento ao cliente, tive o telefone desligado pela atendente Srta. Camila. Sendo assim procurei outro meio de protocolar a minha reclamação junto à empresa.Em fim, espero que medidas corretivas sejam tomadas, pois são profissionais responsáveis pois diversas vidas que fazem uso dos transportes públicos diariamente, gostaria de ser notificado sobre as providências, para saber se teve efeito a reclamação.",Desumanidade
 08/03/18 às 14h31,ID: 33610363,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/beneficio-do-estudante_dNPG8PwMAfAkUU6c/, Caieiras - SP,"Tentei revalidar meu cartão, aparentemente tudo estava indo bem, imprimi o boleto e paguei. Depois de mais de uma semana do boleto pago eu recebi uma mensagem dizendo que tinha documentação pendente (comprovante de residência). A EMTU só faz isso para tirar nosso dinheiro. Aconteceu a mesma coisa com uma colega minha, ela ficou um semestre inteiro sem conseguir revalidar o cartão. Ou alguém vai resolver isso ou então vou usar de métodos mais diretos para conseguir meu dinheiro de volta.",benefício do estudante
 08/03/18 às 14h28,ID: 33610243,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/emtu-passe-livre-descaso-com-os-cidadoes-documentacao-ignorada_06zbOlKK7ps-EiO3/, Guarulhos - SP,"A EMTU está me impedindo de receber o benefício, pois querem que provo a todo custo como recebo a quantia de 200,00.Já fiz upload do documento, escrevi a punho, mostrei minha carteira de trabalho (Todas as páginas requeridas).Expliquei que o valor QUANDO recebia era de pequenas manutenção que fazia em computadores era de amigos.A pessoa que leu (Ou não leu) passou batido, ou por ordens de terceiros recusou no sistema, hoje 08/03/2018 fiz novamente o Upload, não tenho muito o que fazer, pelo contrário se algum desses orgãos quiser visitar minha casa e ver as condições que estamos passando as portas estão abertas!Já entrei em contato com o tribunal de pequenas causas.Segunda Feira 12/03/2018 Estarei indo na ouvidoria EMTU novamente.Espero ser atendido. Estou usando o site do RECLAME AQUI como documentação das provas que serão levadas a justiça caso o problema não seja resolvido nos próximos 15 dias úteis.",EMTU - PASSE LIVRE - Descaso com os cidadões (Documentação ignorada)
 08/03/18 às 11h28,ID: 33603215,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/revalidei-mas-continua-expirado_PjDQmzSzTLosIP9A/, Itaquaquecetuba - SP,"Olá , revalidei meu cartão dia 19/01/2018 , mas quando fui tentar recarregar , deu cartão expirado temporariamente, mas no site da EMTU , o cartão está pronto pra recarga !",Revalidei mas continua expirado
 08/03/18 às 10h29,ID: 33600547,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/0800-da-emtu-nao-funciona_9v529c5xrPh1PWU-/, Caieiras - SP,"Preciso urgente falar com alguém da EMTU - SP e tento ligar no 0800 mas ninguém atende. Horas tentando e nada.Estou com problemas no cartão meia tarifa, pra finalizar a requisição (é primeira requisição e site fica pedindo número pra revalidar, sendo que é a primeira vez).Sou de Caieiras e fica inviável ir até centro ou norte de SP só pra ""tentar"" acertar isso, sendo que existe o 08007240555 pra isso, mas ninguém atende !",0800 da EMTU não funciona
 08/03/18 às 09h33,ID: 33598271,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/empresa-mercenaria-e-sem-etica_pJATdDOnlRB0XC74/, São Paulo - SP,"LIXO DE TRANSPORTE PÚBLICO!ALÉM DE DEMORAR MAIS DE MEIA HORA DE INTERVALO ,OS ÔNIBUS SÃO DE PÉSSIMA QUALIDADE , NÃO CUMPREM OS HORÁRIOS DO SITE , E PELO JEITO NÃO ESTÃO NEM UM POUCO PREOCUPADOS EM MELHOR O ATENDIMENTO A NOS PASSAGEIROS, DEVE SER PELO SIMPLES FATO DE NAO TEREM NENHUMA EMPRESA CONCORRENTE , OU OUTRAS OPÇÕES DE TRANSPORTE , LAMENTÁVEL , EMPRESÁRIOS ENRIQUECENDO AS CUSTAS DO TRABALHADOR ,MAS TUDO QUE VAI VOLTA , AQUI SE FAZ O MAL E AQUI SE PAGA !",Empresa mercenária e sem ética
 07/03/18 às 15h56,ID: 33579783,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/revalidacao-bom-escolar-descaso_F72gqBABrVwhKCJb/, Santo André - SP,"A EMTU criou um processo de análise de documentação dos estudantes que é LENTO, FALHO e ENGANADOR.Estou ha mais de 40 dias tentando revalidar meu cartão de passe livre e FOI NEGADO 3 VEZES. Sem contar que pedem coisas que não são necessárias, tipo uma declaração de bolsa assinada pelo diretor (o diretor não assina esse tipo de documento) e declaração de proprietário do apartamento (alugamos via imobiliária, não temos contato com o dono). Eu sei que fazem isso pra DIFICULTAR a vida dos estudantes, estou desde o começo das aulas pagando passagem DO MEU BOLSO, sendo que era pra estar usando um benefício que é DIREITO MEU, mas como eles estão fazendo de tudo pra atrasar, estou tendo que me endividar pra pode assistir aula. Parabéns EMTU, o serviço de vocês é um lixo do começo ao fim.",REVALIDAÇÃO BOM ESCOLAR - DESCASO
 07/03/18 às 15h22,ID: 33578417,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/passe-livre_J-XrtlycrjT9gG_Z/, São Bernardo do Campo - SP,"Boa tarde, gostaria de fazer uma reclamação quanto a minha solicitação do passe livre, foram enviados meus documentos no começo do mês, teve um erro no sistema que não foi enviado alguns documentos meus, é só foi me constatado 15 dias depois, no dia que que a solicitação do cartão seria feita! Enviei novamente os documentos e me deram mais um prazo de 15 dias, porém não posso ficar todos esses dias sem o cartão não tenho condições de pagar 20 reais de ida e vinda todos os dias e essa situação só está me prejudicando já que estou tendo que faltar vários dias por isso, gostaria que a esperassem minha solicitação o quanto antes. Atenciosamente Mirella RodriguesCPF: 457.700.558.12",PASSE LIVRE
 07/03/18 às 15h15,ID: 33578161,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/beneficio-estudante_0Rp9RByFSU4s3XLL/, São Paulo - SP,"Estou tentando renovar o bilhete estudante há mais de um mês, e só ficam pedindo foto de endereço que já enviei várias vezes.se não querem trabalhar de o lugar pra outra empresa. têm muita gente desempregada por aí.",beneficio estudante
 07/03/18 às 14h23,ID: 33576165,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/demora-na-revalidacao-do-passe-livre_GgX-1GjB6WoM0ZgI/, Caieiras - SP,"No dia 24 de fevereiro, anexei todos os documentos necessários para revalidação do cartão bom, para utilizar o passe livre, porém foi dado um prazo absurdo ""15 dias úteis "" pra análise do documento. O que mais revolta é que se foi solicitado passe livre, é pq não tenho renda suficiente pra ficar pagando o transporte todos os dias, e eu já tenho o cartão em mãos, ou seja, só resta a emtu liberar o benefício.",Demora na revalidação do passe livre
 07/03/18 às 13h43,ID: 33574659,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/indignada_IZ514KzX-J-eYcBO/, São Paulo - SP,"Estou muito indignada com o atendimento da Emtu, fiz a revalidação do bilhete escolar e solicitei o passe livre, do que a demora é muita, já paguei a taxa desde o início de fevereiro e até agora não liberaram o passe livre , mesmo eu enviando todos os documentos solicitados, eu consegui o passe livre da sptrans e da emtu não tenho resposta, estou pagando a condução cara sem poder, peguei dinheiro emprestado pra pagar,será que vou ter que trancar meu curso o qual ganhei desconto , por causa da emtu, que nem a meia tarifa que é por direito de todos os estudantes não liberaram, eu estou aguardando uma resposta, daqui a pouco acaba o semestre e eu tendo que pagar a passagem integral.",Indignada
 07/03/18 às 11h10,ID: 33568881,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/emtu-nao-libera-passe-livre-prouni_0saIrzy4Nhmb-VfU/, Guarulhos - SP,"Olá, sou estudante de Engenharia Civil da Faculdades Metropolitanas Unidas - FMU. E solicitei desde o dia 23/02 meu cartão passe livre para ônibus intermunicipais, como sou prouni, tenho o direito. No entanto a EMTU exibe para mim em seu site um formulário para cartão meia-tarifa.Por favor, resolvam isso para mim. Não tenho condições de bancar as passagens intermunicipais, isto está prejudicando muito meus estudos.Augusto Severo dos SantosEngenharia Civil - Prouni - FMURA 8162368Grato",EMTU NÃO LIBERA PASSE LIVRE - PROUNI
 07/03/18 às 11h02,ID: 33568559,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/passa-antes-do-horario_mQptFyL06m1OnIAp/, São Paulo - SP,"MORO NO CONTINENTAL 3 E O ONIBUS PR011 PASSA DE UMA EM UMA HORA ATE MAIS, POR CONTA DESSE MOTIVO FUI ATE O TERMINAL E PEDI OS HORARIOS EM QUE OS O ONIBUS PASSAM ,PORQUE PRA IR TRABALHAR PRECISO DESSE ONIBUS O FISCAL DO TERMINAL 011 PARQUE CONTINENTAL 2 DISSE QUE PASSAVA AS 09:50 ,O MOTORISTA PASSAVA BEM ANTES DO HORARIO POIS MORO DUAS CASAS PRA BAIXO DO PONTO AO SAIR DE CASA BEM ANTES DO HORARIO PARA NÃO PERDER O ONIBUS AS 08:30 ELE PASSAVA MUITO RAPIDO SEM NEM OLHAR PRO LADO , MEU CARTAO É BOM POR ESSE MOTIVO SÓ PASSA NOS INTERMUNICIPAIS ,TIVE QUE SUBIR APE EM OUTRO BAIRRO QUE É NO FINAL DO 011 PRA PEGAR OUTRO E FAZE UMA RECLAMAÇÃO , EU FIZ ELE COMEÇOU A PASSAR NO HORARIO ,POREM O MOTORISTA FICA COM CARA FEIA ,A SEMANA PASSADA PERDI O ONIBUS TODOS OS DIAS TIVE QUE SUBIR APE POIS NAO TENHO DINHEIRO PRA PAGAR OUTRO ONIBUS,E É DISTANTE , E ACHO UM ABSURDO ESSE ONIBUS PASSAR DE UMA EM UMA HORA NO CONTINENTAL 3 TODOS PRECISAMOS DE TRANSPORTE , FUI NO FINAL DE NOVO PRA SABER O PORQUE DELE ESTAR PASSANDO FORA DO HORARIO , O FISCAL ME DISSE QUE MUDOU DE HORARIO PRA 08:40 E 8 :40 ELE TEM QUE SAIR DO PONTO FINAL E 08:30 ELE PASSA IGUAL UMA BALA NA PORTA DA MINHA CASA SENDO QUE HOJE SAI AS 08:30 PRA NAO PERDER E LEMBRANDO QUE O PONTO É NA FRENTE DA MINHA CASA E FIQUEI ATE AS 09:00 EMFIM ELE PASSOU BEM ANTES DO HORARIO TIVE IR SUBIR APE PRA PEGAR OUTRO E CHEGUEI ATRASADA NO SERVICO JA FALEI COM O FISCAL E ELES DEBOCHAM DA MINHA CARA . UMA FALTA DE RESPEITO COM O PROXIMO EU SÓ GOSTARIA QUE O MOTORISTA PASSASSE NO HORARIO CERTO EM QUE O FISCAL PASSA E RESPEITASSE OS PASSAGEIROS POIS NAO É UM ONIBUS QUE PASSA TODA HORA . SE PUDEREM ME AJUDAR DESDE JÁ AGRADEÇO NÃO AGUENTO MAIS ESSE DESCASO , TODOS NOS TRABALHAMOS E TEMOS QUE CUMPRIR OS NOSSAS OBRIGAÇÕES E HORARIOS .",PASSA ANTES DO HORARIO
 07/03/18 às 10h47,ID: 33567865,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/emtu-pior-empresa-que-existe_Bku6HwWlOPLIllTk/, Guarulhos - SP,"REVALIDEI MEU CARTÃOPAGUEI A TAXA E QUANDO FUI COLOCAR CREDITO NO CARTÃO NÃO CONSTA LIBERAÇÃO DA EMTU PARA O CARTÃO BOMISSO É PALHAÇADA VISTO QUE PAGUEI A TAXA E PRECISO UTILIZAR O CARTÃOPRECISO QUE VOCES REPASSSEM OS DADOS PARA O CARTÃO BOM PODER LIBERAR A RECARGA ( NO SITE DE VOCES CONSTA QUE JA POSSO COLOCAR CRÉDITOS) MAS PRA ELES NAO FOI REPASSADO,",EMTU PIOR EMPRESA QUE EXISTE
 07/03/18 às 08h35,ID: 33562977,https://www.reclameaqui.com.br/empresa-metropolitana-de-transportes-urbanos-emtu-sao-paulo/cartao-escolar_zHmkD5GYR2wus64U/, Mauá - SP,"fiz a revalidação do meu bilhete de estudante, tudo conforme o site solicitava, desde o dia 18/02 a situação esta como cartão revalidadoCARTÃO REVALIDADO (MEIA TARIFA) ( 18/02/2018) Mas não consigo recarregar meu cartão, já fui nos postos de recarga e sempre eles me mostram a mensagem recarregar o cartão.ja tentei ligar varias vezes no tel 0800 724 05 55 mas nunca consigo contato.estou sendo prejudicada com isso, pois não tenho condições de ficar pagando a passagem todos os dias o valor integral.",cartão escolar
